Title,Industries,Job Skills
Senior Sales,"['IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom']",Teamwork communication skills and Work with patience and Honest and fast learner and Professional level on working
Senior Sales Assistant Mandalay,['IT Telecom'],Sales
Senior Sales Assistant Zin Htet Trading Co ltd,['Retail Fashion FMCG'],Teamwork communication skills
Senior Sales Executive,"['Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications']",Microsoft Office and Sales Business Analysis and Interpersonal skill and Relationship Building and Negotiation Skills and Time management and Presentation Skills and English Communication Skills and Microsoft PowerPoint and Myanmar Language and Sales Process and CRM Management and Prepare proposal and result driven and Microsoft Office and Sales Business Analysis and Interpersonal skill and Relationship Building and Negotiation Skills and Time management and Presentation Skills and English Communication Skills and Microsoft PowerPoint and Myanmar Language and Sales Process and CRM Management and Prepare proposal and result driven
Senior Sales Executive Male Post,"['Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG']",Application for Sales Marketin and team management leadership and Teamwork communication skills
Senior Sales Executive Middle Myanmar,"['Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG']",Sales Distribution and Problem Solving Skill and Communication team work and Microsoft word excel and Powe
Senior Sales Executive Sales Executive Mandalay Tractor Sales Male Posts,"['Agriculture', 'Agriculture']",Sales and Sales Marketing in Automobile
Senior Sales Executive Sales Executive Shwe Nyaung Tractor Sales Male Posts,"['Agriculture', 'Agriculture']",Banking and Finance Skill and Sale Forecasting
Senior Sales Executive Sales Executive Yangon Tractor Sales Male Posts,['Agriculture'],Sales Operations Process
Senior Sales Officer Post,['Recruitment'],Sales Marketing
Senior Sales Representative,['Medical Healthcare'],Salesman
Senior Service Engineer,['Construction Engineering'],Engineering
Senior Tax Accountant Female Posts Pazontaung,['Banking Micro finance Insurance'],Tax Preparation
Senior Teacher of English Native Only,"['Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training']",Teamwork and collaboration and MS Office Applications and Strong interpersonal skills and Effective Teaching and Organizational Skills and Child care and Professional Driving Skills
Senior Tour Operator Outbound,"['Travel Tourism Transportation', 'Travel Tourism Transportation', 'Travel Tourism Transportation', 'Travel Tourism Transportation', 'Travel Tourism Transportation', 'Travel Tourism Transportation', 'Travel Tourism Transportation', 'Travel Tourism Transportation']",Teamwork and collaboration and English Communication Skills and Travel and Tourism and Hotel Tourism Sale Marketin and Tour Operation Sales and Admin and Tour Package Creating and Tour Operation Management and Outbound Tour Leader
Senior Web Developer,"['IT Telecom', 'IT Telecom']",Web Development and IT Web developing
Senior accountant post,['Medical Healthcare'],Accounting Finance
Server Administrator,['IT Telecom'],IT literacy
Server Waiter Waitress,['Retail Fashion FMCG'],Food and Beverage Service
Service Admin,"['Automotive Aviation', 'Automotive Aviation']",Teamwork and collaboration and Microsoft s
Service Administrator,"['Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering']",Admin Data entry and Computer excel word internet em and Ability to work flexibly and Communication team work
Service Engineer,"['Energy Utilities', 'Construction Engineering', 'Construction Engineering']",Proactive and teamwork skills and Proactive and teamwork skills and Ability to work flexibly
Service Engineer Crane Section,['Recruitment'],Learing
Service Engineer Mandalay MaleFemale Posts,['Agriculture'],Machine Mainteance
Service Engineer Yangon Mandalay Nay Pyi Taw,['Medical Healthcare'],Engineering
Service Technician,['Automotive Aviation'],Engineering and Technical
Sewing Manager,['Manufacturing Warehousing'],Management
Shop Manager,['Manufacturing Warehousing'],Sales Manager
Showroom Manager,"['Medical Healthcare', 'Banking Micro finance Insurance', 'Banking Micro finance Insurance', 'Banking Micro finance Insurance', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare']",Problem solving Time Management and Sales Marketing Manager and Retail Management and Teamwork communication skills and Sales Management and Sales Marketing Manager and Negotiation Skills and Sales Management and Team Building and Communication Skills and Showroom business
Site Engineer,"['IT Telecom', 'IT Telecom', 'IT Telecom', 'Property Real Estate', 'Property Real Estate', 'Property Real Estate']",Proactive and teamwork skills and Teamwork communication skills and Computer excel word internet em and Engineering and Interior Decoration and Decoration site engineer
Site Engineer Civil,['Construction Engineering'],civil engineering
Site Engineer Sub Assistant Engineer,"['Construction Engineering', 'Construction Engineering', 'Construction Engineering']",Architectural Civil Drawing and Teamwork communication skills and AutoCAD D D
Site Engineering,['Construction Engineering'],M E construction
Site Purchaser,['Construction Engineering'],Sales and Warehouse Store
Site Supervisor,['Construction Engineering'],M E construction
Social Media Content Writer Creator,"['Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications']",Sale digital marketing and Social Media and Writing script and content
Social Media Executive,"['Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications']",Social Media Marketing and Social Media Strategy and Creative ideas and comunication and Social Media engagement and Social Media Strategy and Creative ideas and comunication and Social Media engagement and Social media marketing
Software Developer,['Recruitment'],IT literacy
Software Developer Test,['Recruitment'],IT literacy
Solution Manager,['IT Telecom'],Proactive and teamwork skills
Sr Marketing Communication Associate,['Advertising Media Communications'],Sales Management
Steward,['Hospitality Hotel'],Communication team work
Stewarding Supervisor,['Hospitality Hotel'],Proactive and teamwork skills
Stock Controller,"['Food Beverages', 'Food Beverages']",Finance Accounting Field and Manufacturing department
Store,"['Construction Engineering', 'Construction Engineering']",Interpersonal skill and Strong Communication Skill
Store Assistant Accountant,"['Food Beverages', 'Food Beverages']",Accounting and Sales Store management market
Store Keeper,"['Construction Engineering', 'Construction Engineering', 'Construction Engineering']",Computing Skills and Communication Skills and Interpersonal Skills
Store Manager,['Construction Engineering'],INVENTORY RECONCILIATION
Store Manager Construction,['Construction Engineering'],Team work leadership analytic
Storekeeper,"['Shipping Logistics', 'Manufacturing Warehousing', 'Shipping Logistics', 'Retail Fashion FMCG']",Store keeper sale and Store staff and Store keeper sale and Proactive and teamwork skills
Storekeeper Store Staff,['Manufacturing Warehousing'],Store keeper
Structural Design Engineer,"['Property Real Estate', 'Property Real Estate', 'Property Real Estate', 'Property Real Estate', 'Property Real Estate']",Communicative English and Civil engineer and Structural design and BIM software and REVIT STRUCTURE
Sub Assistant Engineer QS Planing Female Post,"['Construction Engineering', 'Construction Engineering']",Auto CAD and SAE
Superintendent Assistant Engineer Fiber Mandalay,['IT Telecom'],Telecommunication Industry
Supermarket or Branch Manager Retail Manager,['Retail Fashion FMCG'],Retail Category Management
Supersivor,"['Retail Fashion FMCG', 'Retail Fashion FMCG']",communication with all levels and Production and Quality control
Supervisor Eng utility operation and maintenance,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Utility and Facility Management and Proficient Problem Solving and operation project and Email internet and Able to communicate with people
Supervisor Improvement Engineer,['Manufacturing Warehousing'],Project requirements analysis
Supervisor Supply Chain Analysis Finance,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Finance Accounting Field and Assistant Finance Manager and Engineering Cost Estimation and Cost Effectiveness Analysis Ski and Cost and budget control and Budgeting strategic planning
Supply Chain Executive,"['Agriculture', 'Agriculture', 'Agriculture']",Ability to manage and Ability to work flexibly and Good Problem Solving Skills
Surveyor Building,['Construction Engineering'],Surveying with Therodolite
TOC Engineer,['IT Telecom'],Telecom Operation
Talent Acquisition Specialist,['Automotive Aviation'],Recruitment and selection
Tally Checker,['Shipping Logistics'],accurate work
Tax Accountant,['Agriculture'],Teamwork communication skills
Tax Accountant Female Post Yangon Pazontaung,['Agriculture'],Tax Report Preparation Filing
Tax Accountant Yangon Female Posts Pazontaung,['Agriculture'],Tax Report Preparation Filing
Teacher,['Hospitality Hotel'],Team Building
Teacher of English Young Learners,"['Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training']",Teamwork and collaboration and Passionate to teach and Teacher Adult learner and Professional Driving Skills and Assessment skill and Creative lesson planning
Teaching Assistant Early Years,"['Education Training', 'Education Training', 'Education Training', 'Education Training']",Working with children and I am very patient with children and Professional Driving Skills and Good at teaching the children
Teaching Assistant Young and Adult Learners,"['Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training']",Working with children and facilitation skills and I am very patient with children and Professional Driving Skills and Good at teaching the children
Technical Center Manager,['Medical Healthcare'],Proactive and teamwork skills
Technical Sales Engineer,"['IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom']",Communication Skills and Teamwork and Technical skill and Sales and Marketing
Technical Sourcing Manager International,"['Government Public Relations', 'Government Public Relations', 'Government Public Relations', 'Government Public Relations', 'Government Public Relations', 'Government Public Relations', 'Government Public Relations', 'Government Public Relations', 'Government Public Relations', 'Government Public Relations']",Teamwork and collaboration and Excellent Interpersonal and Sourcing for cost reduction and Procurement Vendor Management and Negotiating contract terms and Teamwork and collaboration and Excellent Interpersonal and Sourcing for cost reduction and Procurement Vendor Management and Negotiating contract terms
Technician Fresh Air Systems Mandalay and Nay Pyi Taw,['Construction Engineering'],Electrical and Electronics
Technician Spare Part Store,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Spare parts Management and Store Keeping and Store engineer
Tele Sales,['Construction Engineering'],distribution marketing
Test,['Shipping Logistics'],IT literacy
Test Post Edit,['Shipping Logistics'],Excellent teamwork motivating
Test Shailesh Job,['Agriculture'],PHP Laravel
Testing,"['Enforcement Security', 'Shipping Logistics', 'Hospitality Hotel', 'Property Real Estate', 'Entertainment Events']",Banking and Finance Skill and Manange team and Banking and Finance Skill and Proactive and teamwork skills and IT literacy
Testing new,['Hospitality Hotel'],IT literacy
Training Development Coordinator Post,"['Retail Fashion FMCG', 'Retail Fashion FMCG']",Teamwork communication skills and Proficient Problem Solving
Training Supervisor,['Construction Engineering'],Proactive and teamwork skills
Translator,['Manufacturing Warehousing'],Teamwork communication skills
Translator in Chinese BURMESE,"['IT Telecom', 'IT Telecom']",Languages skill and Chinese Communicable
Transportation Document Officer,"['Shipping Logistics', 'Shipping Logistics']",Transport Fleet Management and Documentations and Reporting
UI UX Designer,"['IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom']",Communicative English and User Experience Design and Product Design and Web Design and Chinese Communicable and Good Interpersonal skill and Digital Art and Product Design R D
UI UX Designer AIGC,"['IT Telecom', 'IT Telecom']",Creative idea and UI UX Design
Unity Developer iOS,"['IT Telecom', 'IT Telecom', 'IT Telecom']",RestfulAPI and Swift and Debugging skills
Upper Myanmar Country Manager,['Law Compliance'],Reporting to management
VBA Developer Win Myint Mo Industries Co Ltd,['Energy Utilities'],IT literacy
Vaccination Operator Livestock,"['Agriculture', 'Agriculture']",Veterinary knowledge and Senior Vaccine
Valuation Associate URGENT,"['Advisory and Financial Services', 'Advisory and Financial Services']",Finance Accounting Field and ACCA part
Vehicle Assistant,['Automotive Aviation'],General worker
Vehicle Manager,['Construction Engineering'],Management
Video Creator,['IT Telecom'],Photo Video Editing
Videographer Editor Post,['Entertainment Events'],Teamwork communication skills
Videographer or Video Editor Tachileik,"['Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG']",communication with all levels and Adobe Creative suite and Canva Designing and Video Editing Motion Graphic
Waiter and Waitress,"['Food Beverages', 'Food Beverages', 'Food Beverages']",Knowledge in Food Products and Food safety knowledge and Food and Beverage Service
Waiters Waitress,['Hospitality Hotel'],Ability to work flexibly
Warehouse Accountant,['Manufacturing Warehousing'],Warehouse Accountant
Warehouse Assistant,"['Retail Fashion FMCG', 'Retail Fashion FMCG', 'IT Telecom', 'IT Telecom']",Sale Admin Account Logistic WH and Microsoft s and Communication Skills and Microsoft Word Excel Power Po
Warehouse Assistant Male Female Post Mingalardone Zaykabar Compound,['Manufacturing Warehousing'],Teamwok
Warehouse Assistant Manager,"['Food Beverages', 'Food Beverages', 'Food Beverages', 'Food Beverages']",Proactive and teamwork skills and Ability to manage and Ability to work flexibly and Data recording reporting
Warehouse Assistant Mandalay Female,['Agriculture'],warehouse
Warehouse Assistant Mandalay Female Posts,['Agriculture'],warehouse
Warehouse Assistant Mandalay Male,['Agriculture'],warehouse
Warehouse Keeper,['IT Telecom'],Warehouse Management
Warehouse Manager,['Manufacturing Warehousing'],Warehouse Mamagement
Warehouse Production Supervisor Yangon,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Supervise Staffs and Team work and Warehouse Management and Warehouse Management and warehouse distribution and Warehouse Maintainance and Factory Management and Warehouse Operation
Warehouse Specialist,['IT Telecom'],Warehouse and logastics
Warehouse Staff,"['IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom']",Teamwork communication skills and Learn quickly to new job and Work with patience and Warehouse and Delivery
Warehouse Staff Post Male,['Manufacturing Warehousing'],Microsoft Office
Warehouse Supervisor,"['Medical Healthcare', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG']",Warehousing Management and Interpersonal skill and Organized Skill and Customer Oriented and Willing to learning new things and Dynamics and detailed oriented and hard working skill and Responsible
Way Leader,['Manufacturing Warehousing'],Control management and decision
Web Designer Tachileik,"['Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG']",communication with all levels and creativity and innovation and creative web design and Fundamental of Web Technology
Web Developer,['IT Telecom'],IT literacy
Web Developer M F,"['Construction Engineering', 'Construction Engineering']",Web Development and Proactive and teamwork skills
WordPress Developer,['Shipping Logistics'],Banking and Finance Skill
Yoon Test,"['Government Public Relations', 'Manufacturing Warehousing', 'Enforcement Security', 'Hospitality Hotel', 'Shipping Logistics', 'Hospitality Hotel', 'Entertainment Events', 'Property Real Estate', 'Shipping Logistics', 'Entertainment Events', 'Education Training']",Retail Category Management and Retail Category Management and Retail Category Management and Banking and Finance Skill and Banking and Finance Skill and Banking and Finance Skill and Banking and Finance Skill and Banking and Finance Skill and IT literacy and Banking and Finance Skill and Retail Category Management
driver,['Travel Tourism Transportation'],Driving
eCommerce Account Manager For online Sale,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Management and Sale and Customer servise and Sales and Marketing skill and Ecommerce Sales and eCommerce Development
fire chief,"['Energy Utilities', 'Energy Utilities']",Proactive and teamwork skills and Able to communicate with people
iOS Developer,"['IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom']",IT Technicial support and Problem Solving Skill and Web Design and iOS Software Development
kfg dfk pfkd g s fld,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",IT literacy and Banking and Finance Skill and Retail Category Management and Bookkeeping of accounts
office staff,"['Property Real Estate', 'Property Real Estate', 'Property Real Estate', 'Property Real Estate', 'Property Real Estate']", and Facebook other and Computer excel word internet em and Telephone Communications and Telephone operation
property sale marketing supervisor,"['Property Real Estate', 'Property Real Estate', 'Property Real Estate', 'Property Real Estate']",Supervisory skills and Customer Management and Salesman and Young active and creative
sale admin,"['Retail Fashion FMCG', 'Retail Fashion FMCG']",Sales admin and Microsoft s
stock Controller and Purchaser,"['Retail Fashion FMCG', 'Retail Fashion FMCG']",Proactive and teamwork skills and Quality Assurance Textile
